epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.274,0.59459,0.4713,1.1033,0.94442,0.91561,0.9541,0.86416,0.51719,0.43101,1.01919,0.00332612,0.00332612,0.00332612
2,211.11,0.61107,0.48228,1.10892,0.92809,0.89597,0.94566,0.84009,0.58583,0.50878,1.06486,0.00659352,0.00659352,0.00659352
3,307.713,0.66732,0.54955,1.14132,0.91231,0.89643,0.93629,0.80644,0.64418,0.52674,1.09869,0.00979493,0.00979493,0.00979493
4,403.505,0.73541,0.66449,1.18605,0.87607,0.86944,0.91875,0.78279,0.65929,0.60227,1.1152,0.009703,0.009703,0.009703
5,499.38,0.74984,0.68842,1.19383,0.87166,0.76661,0.86626,0.70886,0.75194,0.76676,1.22973,0.009604,0.009604,0.009604
6,598.007,0.75656,0.6861,1.19634,0.91301,0.89276,0.94585,0.81666,0.61898,0.56903,1.09593,0.009505,0.009505,0.009505
7,696.6,0.75353,0.69303,1.1978,0.89072,0.87001,0.92226,0.7798,0.66966,0.58041,1.1451,0.009406,0.009406,0.009406
8,795.402,0.7526,0.68823,1.19693,0.91875,0.91925,0.94434,0.81941,0.63747,0.5164,1.10553,0.009307,0.009307,0.009307
9,895.902,0.74373,0.67854,1.18646,0.86945,0.86293,0.92437,0.74397,0.72308,0.58963,1.22648,0.009208,0.009208,0.009208
10,999.469,0.756,0.68562,1.19833,0.91113,0.90133,0.9345,0.80007,0.6594,0.55855,1.1236,0.009109,0.009109,0.009109
11,1098.79,0.74111,0.66718,1.18231,0.88161,0.87614,0.92687,0.78757,0.64928,0.59887,1.13132,0.00901,0.00901,0.00901
12,1198.72,0.74851,0.66102,1.19049,0.90514,0.87959,0.93458,0.80148,0.65068,0.57878,1.1307,0.008911,0.008911,0.008911
13,1307.6,0.74281,0.66895,1.18211,0.90998,0.87749,0.93343,0.7878,0.69123,0.58506,1.15853,0.008812,0.008812,0.008812
14,1412.38,0.73463,0.6598,1.18322,0.88994,0.88333,0.93177,0.78563,0.67326,0.61084,1.13586,0.008713,0.008713,0.008713
15,1517.59,0.73175,0.65864,1.17917,0.91682,0.90606,0.94895,0.81965,0.62468,0.51052,1.10933,0.008614,0.008614,0.008614
16,1619.65,0.7279,0.64379,1.17132,0.90651,0.89568,0.94083,0.81188,0.62092,0.52948,1.10684,0.008515,0.008515,0.008515
17,1726.5,0.72201,0.64236,1.17631,0.92637,0.9027,0.94706,0.81507,0.63576,0.53333,1.09967,0.008416,0.008416,0.008416
18,1840.53,0.72076,0.62514,1.1728,0.91685,0.92232,0.94127,0.82004,0.61938,0.5296,1.09459,0.008317,0.008317,0.008317
19,1951.42,0.71465,0.63724,1.17154,0.93544,0.90603,0.94778,0.83537,0.60143,0.48317,1.0844,0.008218,0.008218,0.008218
20,2055.73,0.71221,0.62225,1.17172,0.90344,0.90565,0.93319,0.80874,0.62263,0.54778,1.09908,0.008119,0.008119,0.008119
21,2160.14,0.71477,0.62289,1.16837,0.90451,0.85204,0.93134,0.80194,0.653,0.56404,1.13018,0.00802,0.00802,0.00802
22,2266.15,0.70982,0.62253,1.16906,0.91265,0.88688,0.93692,0.78565,0.66704,0.54745,1.15514,0.007921,0.007921,0.007921
23,2370.92,0.70786,0.60826,1.16667,0.9328,0.89375,0.94406,0.82273,0.61349,0.50134,1.1034,0.007822,0.007822,0.007822
24,2476.12,0.70356,0.61768,1.16434,0.92744,0.90453,0.94597,0.81898,0.61241,0.53138,1.08888,0.007723,0.007723,0.007723
25,2576.2,0.69946,0.60344,1.15928,0.92872,0.91051,0.95494,0.83104,0.58533,0.49982,1.07784,0.007624,0.007624,0.007624
26,2675.15,0.7045,0.60763,1.1616,0.9207,0.86762,0.92939,0.79236,0.65123,0.5739,1.12273,0.007525,0.007525,0.007525
27,2779.66,0.69675,0.59638,1.15503,0.90207,0.917,0.94078,0.82461,0.59461,0.51563,1.07948,0.007426,0.007426,0.007426
28,2880.6,0.69484,0.59344,1.15681,0.9317,0.89365,0.94706,0.825,0.60793,0.50574,1.08784,0.007327,0.007327,0.007327
29,2988.4,0.68851,0.59033,1.15514,0.9328,0.89923,0.94257,0.82727,0.59858,0.48604,1.08548,0.007228,0.007228,0.007228
30,3087,0.69523,0.58904,1.1583,0.93888,0.90488,0.94926,0.82846,0.60664,0.48988,1.09575,0.007129,0.007129,0.007129
31,3194.32,0.67668,0.57672,1.14912,0.9182,0.83622,0.91743,0.77406,0.64965,0.56874,1.14492,0.00703,0.00703,0.00703
32,3302.9,0.68558,0.58665,1.15087,0.9274,0.91353,0.95371,0.82895,0.61173,0.49286,1.09557,0.006931,0.006931,0.006931
33,3416.8,0.68546,0.57919,1.15341,0.90573,0.86474,0.9221,0.76752,0.69641,0.57886,1.16425,0.006832,0.006832,0.006832
34,3523.49,0.67656,0.57542,1.14212,0.92071,0.90128,0.94627,0.82421,0.59225,0.51804,1.07891,0.006733,0.006733,0.006733
35,3626.84,0.67377,0.56947,1.14394,0.95216,0.89961,0.95281,0.8454,0.56257,0.48159,1.05445,0.006634,0.006634,0.006634
36,3724.69,0.67308,0.57026,1.14775,0.89785,0.91409,0.94131,0.82529,0.60543,0.50835,1.09244,0.006535,0.006535,0.006535
37,3821.95,0.67115,0.56334,1.14407,0.93062,0.91902,0.95489,0.83796,0.59252,0.47412,1.09012,0.006436,0.006436,0.006436
38,3925.54,0.662,0.55523,1.13621,0.93378,0.90873,0.94766,0.83762,0.57892,0.45914,1.05556,0.006337,0.006337,0.006337
39,4029.53,0.669,0.55125,1.14036,0.9462,0.90444,0.95121,0.82854,0.59801,0.4683,1.09768,0.006238,0.006238,0.006238
40,4133.78,0.65964,0.55293,1.13438,0.92508,0.91365,0.94325,0.82942,0.59831,0.49237,1.07948,0.006139,0.006139,0.006139
41,4231.92,0.65094,0.5465,1.12963,0.92158,0.89935,0.94395,0.83324,0.57678,0.45257,1.0645,0.00604,0.00604,0.00604
42,4330.19,0.66189,0.55777,1.13747,0.91825,0.88565,0.94121,0.82739,0.58581,0.47466,1.06913,0.005941,0.005941,0.005941
43,4433.29,0.65135,0.54003,1.12532,0.93039,0.90546,0.95656,0.84989,0.56722,0.48426,1.05894,0.005842,0.005842,0.005842
44,4539.45,0.65162,0.53453,1.12857,0.93404,0.92752,0.94972,0.84607,0.57531,0.4513,1.06887,0.005743,0.005743,0.005743
45,4639.45,0.64233,0.52736,1.12249,0.93945,0.89102,0.9475,0.83582,0.58355,0.50747,1.0695,0.005644,0.005644,0.005644
46,4746.24,0.64137,0.52924,1.1268,0.93576,0.90608,0.94539,0.83927,0.57289,0.48719,1.06986,0.005545,0.005545,0.005545
47,4850,0.64404,0.52929,1.12604,0.94536,0.88557,0.94796,0.83636,0.57098,0.44444,1.06723,0.005446,0.005446,0.005446
48,4953.11,0.63647,0.52327,1.12145,0.95055,0.92215,0.95745,0.85435,0.54226,0.43585,1.04305,0.005347,0.005347,0.005347
49,5051.14,0.63215,0.52528,1.1186,0.923,0.9206,0.9479,0.84417,0.5593,0.46218,1.06113,0.005248,0.005248,0.005248
50,5154.12,0.64005,0.52304,1.12385,0.94194,0.9088,0.94836,0.85285,0.55724,0.45152,1.06016,0.005149,0.005149,0.005149
51,5254.84,0.62588,0.50316,1.11789,0.92702,0.92035,0.94882,0.857,0.54566,0.45935,1.04597,0.00505,0.00505,0.00505
52,5358.46,0.62243,0.50946,1.11213,0.94458,0.92145,0.95363,0.85234,0.55167,0.44257,1.04948,0.004951,0.004951,0.004951
53,5460,0.61983,0.50164,1.11118,0.93678,0.91171,0.94967,0.85463,0.54479,0.47893,1.04476,0.004852,0.004852,0.004852
54,5562.01,0.61539,0.50277,1.11026,0.95553,0.9089,0.95234,0.8512,0.55234,0.46204,1.04516,0.004753,0.004753,0.004753
55,5666.63,0.6172,0.50572,1.11417,0.93743,0.92396,0.9518,0.85647,0.54691,0.47643,1.03003,0.004654,0.004654,0.004654
56,5773.92,0.61538,0.5015,1.1064,0.94391,0.90983,0.95092,0.86265,0.54279,0.43326,1.03522,0.004555,0.004555,0.004555
57,5885.35,0.60623,0.48172,1.10718,0.93552,0.92245,0.95402,0.85925,0.53513,0.43573,1.03763,0.004456,0.004456,0.004456
58,5990.19,0.60588,0.49263,1.10786,0.93612,0.92942,0.95371,0.86401,0.53455,0.42496,1.03227,0.004357,0.004357,0.004357
59,6094.27,0.60578,0.49268,1.1068,0.94194,0.91966,0.95199,0.86002,0.55026,0.42979,1.03953,0.004258,0.004258,0.004258
60,6199.58,0.59899,0.48709,1.10361,0.94893,0.91419,0.96143,0.87181,0.52395,0.42448,1.02571,0.004159,0.004159,0.004159
