epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.373,0.75731,1.03931,1.23791,0.85209,0.76228,0.85724,0.72115,0.66385,0.75884,1.15794,0.00332602,0.00332602,0.00332602
2,207.454,0.82536,1.08238,1.27245,0.45789,0.37875,0.35726,0.24452,1.19338,2.52225,1.65565,0.00659343,0.00659343,0.00659343
3,300.697,0.98577,1.44815,1.3863,0.40787,0.37528,0.35106,0.22258,1.38223,2.56908,1.85755,0.00979483,0.00979483,0.00979483
4,400.032,1.10416,1.79053,1.48187,0.44879,0.37329,0.39137,0.25122,1.22651,2.20013,1.7033,0.009703,0.009703,0.009703
5,493.902,1.08135,1.69993,1.46083,0.62609,0.58447,0.6259,0.42335,1.08858,1.43654,1.57609,0.009604,0.009604,0.009604
6,586.054,1.04049,1.58409,1.42526,0.40672,0.40209,0.35881,0.21757,1.3643,2.63029,1.87387,0.009505,0.009505,0.009505
7,682.177,1.01965,1.47239,1.41127,0.67345,0.69174,0.73854,0.5554,0.91336,1.10814,1.38605,0.009406,0.009406,0.009406
8,777.045,0.99115,1.41296,1.39093,0.62047,0.63186,0.66106,0.48265,0.95893,1.32465,1.43392,0.009307,0.009307,0.009307
9,874.178,0.96499,1.3406,1.36409,0.7185,0.68611,0.75848,0.57143,0.90182,1.12751,1.39063,0.009208,0.009208,0.009208
10,971.098,0.94401,1.27432,1.35148,0.7638,0.7524,0.81696,0.63761,0.79977,0.93834,1.29332,0.009109,0.009109,0.009109
11,1068.7,0.9262,1.2239,1.33641,0.74944,0.76822,0.81229,0.63875,0.79611,0.92051,1.28091,0.00901,0.00901,0.00901
12,1164.29,0.90932,1.17517,1.32073,0.74252,0.75933,0.81971,0.6386,0.82167,0.94435,1.30597,0.008911,0.008911,0.008911
13,1256.3,0.89723,1.13401,1.30883,0.82841,0.75784,0.85128,0.66317,0.80567,0.86392,1.28474,0.008812,0.008812,0.008812
14,1348.49,0.88872,1.13521,1.3079,0.83283,0.79669,0.88134,0.69481,0.77833,0.78911,1.24763,0.008713,0.008713,0.008713
15,1442.74,0.88155,1.08873,1.30152,0.77035,0.8163,0.86959,0.69346,0.78532,0.82646,1.26085,0.008614,0.008614,0.008614
16,1537.25,0.86368,1.05513,1.28436,0.81414,0.79518,0.87245,0.70572,0.74355,0.78977,1.22839,0.008515,0.008515,0.008515
17,1632.31,0.85384,1.03977,1.28537,0.81074,0.81041,0.86302,0.70339,0.72534,0.77216,1.20854,0.008416,0.008416,0.008416
18,1726.69,0.83899,1.00722,1.27004,0.83282,0.87112,0.90211,0.73381,0.73773,0.71522,1.20837,0.008317,0.008317,0.008317
19,1821.17,0.83613,0.99206,1.27075,0.78236,0.83406,0.88328,0.73234,0.68109,0.72075,1.17748,0.008218,0.008218,0.008218
20,1915.74,0.82074,0.96179,1.25846,0.83577,0.79098,0.86927,0.70966,0.70957,0.77153,1.19391,0.008119,0.008119,0.008119
21,2010.21,0.80084,0.93811,1.24133,0.80804,0.86379,0.90842,0.74798,0.68421,0.65126,1.17689,0.00802,0.00802,0.00802
22,2104.85,0.80541,0.93042,1.24795,0.86546,0.8277,0.89614,0.74953,0.66459,0.65563,1.16443,0.007921,0.007921,0.007921
23,2199.35,0.79182,0.90605,1.24146,0.86593,0.86821,0.91873,0.76636,0.66909,0.60652,1.16234,0.007822,0.007822,0.007822
24,2294.06,0.78836,0.89391,1.23655,0.85679,0.86245,0.91204,0.76824,0.65883,0.64698,1.16189,0.007723,0.007723,0.007723
25,2389,0.77761,0.861,1.2232,0.89563,0.85202,0.92048,0.77906,0.6446,0.59631,1.14269,0.007624,0.007624,0.007624
26,2483.69,0.78546,0.86064,1.23518,0.86742,0.88423,0.93132,0.77644,0.65939,0.57905,1.15907,0.007525,0.007525,0.007525
27,2578.45,0.76574,0.83653,1.21629,0.84642,0.85,0.90561,0.74603,0.69782,0.66639,1.18569,0.007426,0.007426,0.007426
28,2673.14,0.7577,0.82587,1.214,0.90425,0.87501,0.94016,0.79476,0.64036,0.56109,1.13765,0.007327,0.007327,0.007327
29,2767.81,0.75407,0.81015,1.20975,0.88414,0.86158,0.9279,0.78336,0.63372,0.57657,1.11641,0.007228,0.007228,0.007228
30,2862.53,0.75354,0.80257,1.20722,0.88344,0.86752,0.93653,0.79067,0.62899,0.54558,1.13265,0.007129,0.007129,0.007129
31,2957.3,0.74065,0.78822,1.20294,0.87473,0.90291,0.93411,0.7783,0.66235,0.57486,1.14714,0.00703,0.00703,0.00703
32,3052.1,0.74083,0.79321,1.20524,0.87586,0.87689,0.92904,0.79295,0.62579,0.57643,1.12573,0.006931,0.006931,0.006931
33,3146.99,0.73261,0.78702,1.19486,0.89564,0.87209,0.93478,0.80116,0.62805,0.5514,1.12924,0.006832,0.006832,0.006832
34,3242.11,0.72364,0.76472,1.1881,0.91482,0.87507,0.93522,0.78766,0.64712,0.54025,1.14389,0.006733,0.006733,0.006733
35,3337.34,0.71923,0.74493,1.18702,0.92968,0.86027,0.92382,0.80102,0.60686,0.55993,1.09985,0.006634,0.006634,0.006634
36,3432.69,0.72174,0.75273,1.18918,0.90369,0.85022,0.92025,0.78969,0.61827,0.57199,1.12181,0.006535,0.006535,0.006535
37,3528.16,0.70511,0.72291,1.17841,0.8866,0.90674,0.9388,0.81144,0.59338,0.50009,1.09303,0.006436,0.006436,0.006436
38,3623.52,0.69785,0.72501,1.17391,0.90054,0.89355,0.94041,0.80893,0.59292,0.5377,1.09475,0.006337,0.006337,0.006337
39,3719.19,0.69807,0.71178,1.17405,0.89757,0.90455,0.93803,0.82327,0.57613,0.5107,1.08266,0.006238,0.006238,0.006238
40,3815.07,0.6873,0.70192,1.16777,0.88703,0.89983,0.94196,0.81509,0.5963,0.50625,1.08866,0.006139,0.006139,0.006139
41,3910.67,0.68515,0.69799,1.16222,0.9097,0.87207,0.92975,0.79527,0.62086,0.5351,1.1248,0.00604,0.00604,0.00604
42,4006.44,0.67942,0.68778,1.15992,0.91468,0.87557,0.93948,0.80671,0.61501,0.54922,1.11031,0.005941,0.005941,0.005941
43,4102.2,0.67503,0.67906,1.15591,0.93412,0.88342,0.94193,0.81861,0.58095,0.49934,1.0865,0.005842,0.005842,0.005842
44,4200.03,0.67097,0.67046,1.15573,0.93904,0.89684,0.9468,0.82363,0.591,0.50118,1.094,0.005743,0.005743,0.005743
45,4293.76,0.67865,0.68157,1.16078,0.91777,0.87344,0.93546,0.80172,0.6011,0.51395,1.09497,0.005644,0.005644,0.005644
46,4387.37,0.6673,0.67761,1.15909,0.89658,0.88867,0.93097,0.80315,0.60382,0.52162,1.09674,0.005545,0.005545,0.005545
47,4480.92,0.67025,0.66994,1.15753,0.88258,0.90257,0.93748,0.81241,0.58968,0.51855,1.08641,0.005446,0.005446,0.005446
48,4574.65,0.6526,0.65259,1.14659,0.91411,0.89656,0.94486,0.81836,0.59645,0.48373,1.09586,0.005347,0.005347,0.005347
49,4668.39,0.65676,0.65187,1.14738,0.93046,0.87509,0.94091,0.81344,0.60212,0.49195,1.09483,0.005248,0.005248,0.005248
50,4761.9,0.64793,0.64312,1.14277,0.90825,0.88715,0.93658,0.81519,0.59023,0.4991,1.08185,0.005149,0.005149,0.005149
51,4855.46,0.64684,0.62357,1.14049,0.93169,0.88851,0.9471,0.82402,0.58522,0.47034,1.09265,0.00505,0.00505,0.00505
52,4949,0.63892,0.61154,1.13817,0.91993,0.89388,0.94184,0.83062,0.56263,0.46556,1.0771,0.004951,0.004951,0.004951
53,5042.63,0.63474,0.60662,1.13621,0.94452,0.88897,0.95184,0.83519,0.56527,0.47051,1.06554,0.004852,0.004852,0.004852
54,5136.11,0.63454,0.60966,1.13501,0.93753,0.89865,0.95464,0.8343,0.5708,0.44798,1.06896,0.004753,0.004753,0.004753
55,5230.26,0.63121,0.60405,1.13274,0.92402,0.91014,0.94802,0.83347,0.56895,0.43731,1.07324,0.004654,0.004654,0.004654
56,5321.64,0.63071,0.60409,1.13334,0.93209,0.90765,0.95295,0.84007,0.55311,0.4504,1.06468,0.004555,0.004555,0.004555
57,5412.91,0.61893,0.59256,1.12332,0.91811,0.89496,0.94372,0.83066,0.55886,0.47861,1.06062,0.004456,0.004456,0.004456
58,5505.73,0.61716,0.58453,1.12315,0.90871,0.89761,0.94007,0.81965,0.54902,0.46765,1.05541,0.004357,0.004357,0.004357
59,5599.4,0.60967,0.57659,1.12077,0.90769,0.91148,0.94481,0.83033,0.56263,0.46553,1.07326,0.004258,0.004258,0.004258
60,5693.04,0.61007,0.58287,1.11952,0.91148,0.91143,0.94575,0.83337,0.56594,0.4591,1.07298,0.004159,0.004159,0.004159
61,5786.85,0.60178,0.56657,1.11425,0.93119,0.89665,0.94335,0.84256,0.53748,0.45364,1.0551,0.00406,0.00406,0.00406
62,5880.43,0.60626,0.56728,1.11831,0.92234,0.90384,0.94634,0.83962,0.55296,0.45654,1.05994,0.003961,0.003961,0.003961
63,5974.07,0.59147,0.55264,1.10815,0.92636,0.88318,0.93924,0.83202,0.54114,0.48312,1.041,0.003862,0.003862,0.003862
64,6067.68,0.6008,0.55582,1.11261,0.94029,0.89237,0.94471,0.84259,0.54139,0.47176,1.04386,0.003763,0.003763,0.003763
65,6161.36,0.58631,0.54663,1.10836,0.93226,0.89651,0.94288,0.8383,0.54296,0.46175,1.04503,0.003664,0.003664,0.003664
66,6254.89,0.58795,0.53546,1.10235,0.93251,0.90972,0.94623,0.83436,0.5508,0.4564,1.05536,0.003565,0.003565,0.003565
67,6348.46,0.58009,0.53087,1.10194,0.91077,0.93077,0.94986,0.84433,0.54952,0.43924,1.05558,0.003466,0.003466,0.003466
68,6442.11,0.58403,0.53243,1.10581,0.93498,0.90881,0.95273,0.84464,0.54402,0.43726,1.05441,0.003367,0.003367,0.003367
69,6535.58,0.57965,0.53618,1.09999,0.92989,0.90129,0.94743,0.83317,0.56111,0.44161,1.06468,0.003268,0.003268,0.003268
70,6629.37,0.57878,0.52069,1.10067,0.93183,0.90748,0.94765,0.84146,0.53814,0.43749,1.0419,0.003169,0.003169,0.003169
71,6723.11,0.57242,0.52308,1.09573,0.93117,0.90472,0.94608,0.8404,0.54132,0.43731,1.05115,0.00307,0.00307,0.00307
72,6816.78,0.56435,0.51421,1.09488,0.94596,0.88695,0.94801,0.84946,0.52892,0.44413,1.03555,0.002971,0.002971,0.002971
73,6910.42,0.56497,0.5127,1.09301,0.92408,0.89934,0.94351,0.84135,0.54023,0.4662,1.04274,0.002872,0.002872,0.002872
74,7004.01,0.55513,0.50433,1.08805,0.90957,0.89278,0.9373,0.82805,0.55836,0.48254,1.05677,0.002773,0.002773,0.002773
75,7097.74,0.55605,0.49796,1.08671,0.91697,0.89023,0.93588,0.83191,0.54808,0.47789,1.04978,0.002674,0.002674,0.002674
76,7191.35,0.55411,0.50102,1.08672,0.92517,0.88168,0.93877,0.83041,0.5522,0.47326,1.05642,0.002575,0.002575,0.002575
77,7285.04,0.54487,0.48812,1.08048,0.93059,0.88752,0.94184,0.83728,0.54104,0.4549,1.04424,0.002476,0.002476,0.002476
78,7378.71,0.54562,0.49131,1.0777,0.93798,0.884,0.94672,0.83862,0.53742,0.45637,1.04233,0.002377,0.002377,0.002377
79,7472.26,0.53975,0.47947,1.07773,0.91874,0.89876,0.947,0.83964,0.52865,0.45719,1.03013,0.002278,0.002278,0.002278
80,7565.97,0.53472,0.48054,1.07856,0.89327,0.92014,0.94539,0.84222,0.53208,0.44904,1.03496,0.002179,0.002179,0.002179
81,7659.71,0.53158,0.47443,1.0731,0.91014,0.90369,0.94075,0.84013,0.53384,0.46426,1.03589,0.00208,0.00208,0.00208
82,7753.4,0.53012,0.47117,1.07726,0.91043,0.91306,0.94278,0.84437,0.52739,0.45863,1.03158,0.001981,0.001981,0.001981
83,7846.92,0.52732,0.46638,1.06851,0.93395,0.89403,0.94535,0.84042,0.53006,0.46023,1.0354,0.001882,0.001882,0.001882
84,7940.33,0.51838,0.45303,1.06443,0.92449,0.89894,0.94182,0.84047,0.53269,0.4593,1.03992,0.001783,0.001783,0.001783
85,8033.87,0.52122,0.46133,1.06902,0.93053,0.89043,0.94237,0.84051,0.52944,0.45454,1.04069,0.001684,0.001684,0.001684
86,8127.2,0.50776,0.45683,1.06389,0.9315,0.89477,0.94269,0.84463,0.52877,0.45799,1.03988,0.001585,0.001585,0.001585
87,8221.26,0.51465,0.45531,1.06619,0.92045,0.89511,0.94107,0.84029,0.52932,0.45887,1.03899,0.001486,0.001486,0.001486
88,8314.83,0.50774,0.44622,1.0601,0.9362,0.88644,0.93815,0.83859,0.52919,0.46294,1.03885,0.001387,0.001387,0.001387
89,8408.47,0.50088,0.43722,1.05684,0.92888,0.89372,0.93967,0.83367,0.5307,0.46544,1.03637,0.001288,0.001288,0.001288
90,8502.15,0.49933,0.435,1.05701,0.91482,0.9052,0.94001,0.8352,0.53557,0.46241,1.04092,0.001189,0.001189,0.001189
91,8611.5,0.41698,0.24968,1.03846,0.91247,0.90349,0.94054,0.83939,0.53106,0.45598,1.03357,0.00109,0.00109,0.00109
92,8704.27,0.38618,0.2269,1.00948,0.93128,0.89285,0.94289,0.8425,0.52989,0.46052,1.02955,0.000991,0.000991,0.000991
93,8796.97,0.37347,0.22211,1.00025,0.93683,0.89117,0.94389,0.84673,0.5232,0.45721,1.02509,0.000892,0.000892,0.000892
94,8889.78,0.36888,0.21672,0.99708,0.93231,0.89837,0.94528,0.8496,0.51463,0.44703,1.01894,0.000793,0.000793,0.000793
95,8982.58,0.35909,0.21029,0.98756,0.91607,0.90819,0.94313,0.84952,0.50967,0.45065,1.01563,0.000694,0.000694,0.000694
96,9075.45,0.35672,0.20686,0.9859,0.92017,0.9081,0.94337,0.85007,0.50631,0.44317,1.01635,0.000595,0.000595,0.000595
97,9168.22,0.3485,0.20347,0.97934,0.91997,0.90462,0.94071,0.85123,0.50506,0.44281,1.01617,0.000496,0.000496,0.000496
98,9260.96,0.34538,0.20144,0.98087,0.92601,0.90311,0.94088,0.85332,0.50437,0.44607,1.01687,0.000397,0.000397,0.000397
99,9353.87,0.33787,0.19699,0.97527,0.92648,0.90277,0.94093,0.85371,0.50246,0.44642,1.01629,0.000298,0.000298,0.000298
100,9446.54,0.33732,0.1969,0.97599,0.92421,0.90364,0.94057,0.85641,0.5019,0.44817,1.01696,0.000199,0.000199,0.000199
