epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.5712,1.12299,0.84849,1.28859,0.85114,0.7242,0.78857,0.45237,1.34295,0.82666,1.46476,0.00036915,0.00036915,0.00036915
2,166.388,1.03112,0.77191,1.24011,0.85892,0.7183,0.78221,0.45092,1.34315,0.82208,1.47192,0.000732163,0.000732163,0.000732163
3,239.897,1.02768,0.77102,1.23807,0.86022,0.70077,0.77513,0.43023,1.3743,0.87995,1.51778,0.00108784,0.00108784,0.00108784
4,307.079,1.02667,0.77673,1.24096,0.8542,0.70634,0.77365,0.43728,1.36089,0.84801,1.49449,0.001078,0.001078,0.001078
5,377.013,1.04024,0.78605,1.24791,0.8638,0.71331,0.78253,0.4424,1.35683,0.83372,1.48948,0.001067,0.001067,0.001067
6,450.856,1.02944,0.77693,1.241,0.83326,0.72635,0.77174,0.43497,1.3708,0.85965,1.50904,0.00105601,0.00105601,0.00105601
7,525.129,1.02647,0.77121,1.24094,0.83663,0.7226,0.77466,0.43554,1.37752,0.84688,1.51304,0.00104501,0.00104501,0.00104501
8,599.731,1.01461,0.76401,1.23232,0.84695,0.72336,0.77729,0.44176,1.36995,0.85118,1.48562,0.00103401,0.00103401,0.00103401
9,673.074,1.0282,0.77844,1.23999,0.83963,0.71606,0.76824,0.43152,1.38815,0.85326,1.52079,0.00102301,0.00102301,0.00102301
10,744.658,1.0225,0.76063,1.23219,0.85459,0.70736,0.7691,0.42846,1.40127,0.85228,1.52534,0.00101201,0.00101201,0.00101201
11,816.499,1.0126,0.76111,1.23274,0.83617,0.7024,0.76652,0.43851,1.37771,0.87767,1.49839,0.00100101,0.00100101,0.00100101
12,888.885,1.01417,0.76519,1.2332,0.83228,0.70648,0.76366,0.42974,1.37826,0.86155,1.50942,0.000990012,0.000990012,0.000990012
13,959.179,1.01125,0.74924,1.22784,0.84854,0.70311,0.76002,0.42253,1.40464,0.85982,1.52716,0.000979013,0.000979013,0.000979013
14,1029.78,1.00585,0.74885,1.22973,0.83731,0.71454,0.76851,0.43287,1.37744,0.84542,1.51623,0.000968014,0.000968014,0.000968014
15,1103.45,1.01047,0.75384,1.23694,0.82794,0.72325,0.76764,0.43649,1.36605,0.83409,1.51395,0.000957015,0.000957015,0.000957015
16,1174.98,0.99909,0.74498,1.22247,0.84831,0.70885,0.76137,0.42906,1.37868,0.85011,1.49591,0.000946016,0.000946016,0.000946016
17,1247.08,1.00189,0.73974,1.22613,0.84901,0.70658,0.76707,0.4341,1.36942,0.8419,1.49123,0.000935018,0.000935018,0.000935018
18,1320.9,0.99394,0.73484,1.21639,0.85325,0.7014,0.76893,0.43583,1.39003,0.85074,1.51638,0.000924019,0.000924019,0.000924019
19,1394.23,0.99648,0.73807,1.21536,0.86496,0.69427,0.7686,0.4327,1.38694,0.84992,1.51842,0.00091302,0.00091302,0.00091302
20,1470.42,0.99883,0.74031,1.22221,0.82212,0.72496,0.76742,0.42965,1.4007,0.84968,1.52029,0.000902021,0.000902021,0.000902021
21,1542.11,0.99201,0.73129,1.21389,0.84146,0.71263,0.76242,0.43446,1.37266,0.83952,1.4957,0.000891022,0.000891022,0.000891022
22,1614.64,0.9817,0.7333,1.21083,0.83799,0.72159,0.77042,0.43784,1.37297,0.84619,1.50378,0.000880023,0.000880023,0.000880023
23,1687.22,0.98664,0.7214,1.21195,0.85178,0.70767,0.77112,0.43583,1.39315,0.84171,1.50773,0.000869024,0.000869024,0.000869024
24,1758.84,0.98909,0.72717,1.21447,0.8467,0.7042,0.75862,0.43161,1.3779,0.85513,1.50155,0.000858025,0.000858025,0.000858025
25,1831.36,0.97803,0.72406,1.21162,0.84495,0.70236,0.76637,0.43375,1.38004,0.84314,1.50278,0.000847026,0.000847026,0.000847026
26,1903.31,0.98157,0.72241,1.20754,0.85363,0.71723,0.77118,0.43969,1.37304,0.83489,1.49501,0.000836027,0.000836027,0.000836027
